url,label
https://google.com,0
http://paypal-login-secure-example.com,1
https://apple.com,0
http://update-apple-id.com,1
https://microsoft.com,0
http://microsoft-support-verify-101.xyz,1
https://amazon.com,0
http://amazon-gift-card-free.xyz,1
https://github.com,0
http://github-secure-login-verify.top,1
https://netflix.com,0
http://netflix-account-suspend-warning.club,1
https://bankofamerica.com,0
http://bofa-verify-banking-security.ml,1
https://chase.com,0
http://chase-update-account-info.tk,1
https://linkedin.com,0
http://linkedin-job-offer-bonus.gq,1
https://twitter.com,0
http://twitter-verify-blue-badge.cf,1
